,Hotel Name,Rating,Rating Group,Free WiFi,Airport Shuttle,Distance From Airport,Restaurant,Private Parking,Bar,Non Smoking Rooms,Pet Friendly,Elevator
1997,Granny's House Colosseum,9.2,3.0,True,True,12.4,False,False,False,False,True,True
1998,B&B LA DIMORA DEL CONTE,8.9,3.0,True,True,3.7,False,True,False,False,False,True
1999,Appartamento San Pietro Firenze,9.8,3.0,True,False,4.9,False,True,False,True,False,True
2000,Monteoliveto Bed & Breakfast,8.8,3.0,True,True,4.6,False,True,False,False,True,False
2001,Palazzo Paruta,8.9,3.0,True,False,7.9,False,False,True,True,False,True
2002,Relais Star of Trastevere,9.1,3.0,True,True,13.8,False,False,False,True,False,True
2003,Central View Boutique,9.1,3.0,True,False,5.0,False,False,False,True,False,False
2004,Mokasuite Spaccanapoli,9.0,3.0,True,False,4.4,False,False,False,True,False,True
2005,Hotel Henry,7.7,3.0,True,False,6.7,False,False,False,True,False,False
2006,Palà Suites,9.2,3.0,True,True,4.0,False,True,True,True,False,True
2007,Residenza Favaro,8.5,3.0,True,False,8.1,False,False,False,True,False,False
2008,"DUOMO LUXURY APARTMENT ""Palazzo del Re""",9.5,3.0,True,True,5.3,False,True,False,True,False,True
2009,Silvia in S.Reparata,9.8,3.0,True,True,5.2,False,True,False,False,True,False
2010,Luxury Experience | WelcHome Napoli,9.8,3.0,True,True,4.6,False,True,False,True,False,False
2011,Venice Appartament Salini II,9.4,3.0,True,False,8.1,False,False,False,False,False,False
2012,Hotel Valeri,8.8,3.0,True,True,12.0,False,True,True,True,False,False
2013,Residenza Calle Larga San Marco,9.5,3.0,True,False,7.8,False,False,False,True,False,False
2014,Villa Aruch,9.0,3.0,True,False,1.2,False,True,False,True,True,False
2015,Leone X Guest House,8.6,3.0,True,False,4.8,False,True,False,True,True,False
2016,The RomeHello,9.5,3.0,True,True,14.1,True,False,True,True,False,False
2017,Prinsi Apartments,8.9,3.0,True,True,14.5,False,False,False,True,False,True
2018,Bed & Breakfast Plebiscito Home,8.6,3.0,True,False,5.6,False,True,False,True,True,False
2019,Residence Giulietta,9.4,3.0,True,True,7.3,False,False,False,True,False,False
2020,Alice Home,8.5,3.0,True,True,17.0,False,True,False,True,True,True
2021,Testa d'Oro,9.4,3.0,True,True,7.5,False,False,False,True,False,False
2022,Una Finestra su Firenze,9.1,3.0,True,False,5.1,False,False,False,True,False,False
2023,La Dimora di Anna,8.3,3.0,False,True,2.9,True,True,True,True,True,False
2024,Le Stanze degli Amidei,9.0,3.0,True,False,5.6,False,False,False,True,True,True
2025,AQA Palace,9.7,3.0,True,False,5.9,False,True,False,True,True,True
2026,DOMO B&B,9.6,3.0,True,True,3.6,False,True,False,True,False,False
2027,Via Veneto Prestige Rooms,9.3,3.0,True,True,14.4,False,False,False,True,False,True
2028,CASA MICOL - Centro Ƒirenze,7.3,2.0,True,False,5.2,False,True,False,True,False,False
2029,BBHOMEROME - Imperial Forum,8.4,3.0,True,True,14.4,False,True,False,True,True,False
2030,Palazzo Odoni,8.9,3.0,True,False,7.7,False,False,True,True,True,False
2031,Barù in Chiaia,9.7,3.0,True,False,5.7,False,False,False,True,True,False
2032,Santa Croce Boutique Hotel,9.6,3.0,True,False,7.3,False,False,True,True,True,False
2033,La Galleria,9.5,3.0,True,True,4.0,False,True,False,True,True,False
2034,Costantinopoli 104,8.7,3.0,True,True,4.0,False,True,True,True,True,False
2035,Jean Carlos house in the old town,9.7,3.0,True,False,4.3,False,False,False,True,False,True
2036,Hotel King,7.4,2.0,True,True,14.5,False,False,False,True,True,False
2037,Residenza Ducato,9.6,3.0,True,False,7.8,False,False,False,True,True,False
2038,DownTown,8.3,3.0,True,False,14.8,False,False,False,True,False,True
2039,Hotel Caravaggio,8.5,3.0,True,False,5.0,False,True,True,True,False,False
2040,Ca' Del Prete - Biennale,9.7,3.0,True,False,8.2,False,False,False,True,True,False
2041,Appartamento Signoria,9.8,3.0,True,True,5.6,True,True,False,True,False,False
2042,Indipendenza Palace,0.0,0.0,True,False,4.9,False,False,False,True,False,False
2043,B&B Napoli Storica,9.0,3.0,True,True,5.4,False,True,False,True,True,False
2044,MGPGroup Guest House Piazza Navona,9.0,3.0,True,True,15.0,False,False,False,True,False,False
2045,Gasometer Urban Suites,9.3,3.0,True,True,12.5,False,True,True,True,False,False
2046,La Torre del Cestello - Residenza d'epoca,8.7,3.0,True,False,5.1,False,True,False,True,True,True
2047,Hotel Il Moro di Venezia,7.9,3.0,True,False,7.1,False,True,False,True,True,False
2048,Vesuvius Luxury Suites,7.8,3.0,True,False,3.4,False,False,False,True,False,False
2049,Hotel Moresco,9.6,3.0,True,True,7.8,False,False,True,True,True,False
2050,Venice Homes & Holidays,8.2,3.0,True,True,7.5,False,False,False,True,True,False
2051,Holiday rental St Peter's area,9.2,3.0,True,True,16.1,False,True,False,True,False,False
2052,Venetian Experience,9.1,3.0,True,True,7.9,False,False,False,True,True,False
2053,Hs4U Ricasoli Luxury apartment near Duomo N.2,0.0,0.0,True,False,5.4,False,True,False,True,False,False
2054,Sarpi Loft Florence,9.2,3.0,True,False,7.1,False,True,False,True,True,False
2055,Albergo del Golfo,8.3,3.0,True,True,4.4,False,True,True,True,False,False
2056,Hotel Canaletto,8.4,3.0,True,False,7.6,False,False,True,True,True,False
2057,Tornabuoni Place,8.8,3.0,True,False,5.4,False,True,False,True,True,True
2058,Les Fleurs Luxury House,8.9,3.0,True,True,14.9,False,False,True,True,False,False
2059,B&B Dei Decumani,7.9,3.0,True,False,3.5,False,True,False,True,False,True
2060,Ovo - Slow Travel,9.7,3.0,True,True,4.1,False,False,False,True,True,False
2061,Calenda Suite,9.7,3.0,True,True,3.5,False,True,False,True,False,True
2062,Marte Suite & Venere Suite! Fiber WI-FI! PARKING for FREE on request!,9.9,3.0,True,False,5.3,False,True,False,True,False,False
2063,Alla Corte del Re,9.1,3.0,True,True,2.9,False,True,False,True,False,False
2064,Napoli Bonita b&b,9.6,3.0,True,True,4.9,False,True,False,True,False,False
2065,We Florence Terrace Resort,8.5,3.0,True,False,5.2,False,True,False,True,False,False
2066,Ca' del Cinema B&B,9.1,3.0,True,False,7.6,False,False,False,True,False,False
